Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.2-185.125.190.39-43322-80-6,172.18.0.2,43322,185.125.190.39,80,6,28/11/2023 05:03:57 PM,124371,24,36,153.0,34718.0,153.0,0.0,6.375,31.230994220485517,1448.0,0.0,964.3888888888888,677.7754907585667,280378.86645600665,482.42757556021905,2107.9830508474583,10979.180302754727,79404.0,2.0,123199.0,5356.478260869564,17421.965998729003,79913.0,10.0,124371.0,3553.457142857144,14155.538014881535,79404.0,5.0,0,0,0,0,768,1168,192.97103022408763,289.4565453361314,0.0,1448.0,571.655737704918,702.959716371806,494152.36284153,0,1,0,0,0,0,0,0,1.0,581.1833333333333,6.375,964.3888888888889,0,0,0,0,0,0,24,153,36,34718,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43338-80-6,172.18.0.2,43338,185.125.190.39,80,6,28/11/2023 05:03:57 PM,206668,120,204,149.0,208948.0,149.0,0.0,1.241666666666667,13.601776844711626,1448.0,0.0,1024.2549019607836,650.5294045110396,1011753.1499796776,1567.7318210850253,639.8390092879255,4387.379428942134,70348.0,0.0,205292.0,1725.1428571428578,7163.152007517968,70768.0,7.0,206668.0,1018.06896551724,5507.260302076175,70348.0,3.0,0,0,0,0,3840,6544,580.641415216676,987.0904058683493,0.0,1448.0,643.375384615385,714.5265595696808,510548.2043304846,0,1,0,0,0,0,0,0,1.0,645.3611111111111,1.2416666666666667,1024.2549019607843,0,0,0,0,0,0,120,149,204,208948,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43348-80-6,172.18.0.2,43348,185.125.190.39,80,6,28/11/2023 05:03:57 PM,164174,40,66,154.0,62966.0,154.0,0.0,3.8500000000000005,24.34953798329652,1448.0,0.0,954.0303030303029,680.9768994093247,384470.135344208,645.6564376819716,1563.5619047619048,8413.565281646943,78324.0,3.0,163110.0,4182.307692307692,13592.236784193059,78795.0,10.0,164174.0,2525.753846153847,10612.112651986952,78324.0,3.0,0,0,0,0,1280,2128,243.6439387479138,402.0124989340578,0.0,1448.0,589.9065420560751,707.1248392985669,500025.53835302417,0,1,0,0,0,0,0,0,1.0,595.4716981132076,3.85,954.030303030303,0,0,0,0,0,0,40,154,66,62966,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43352-80-6,172.18.0.2,43352,185.125.190.39,80,6,28/11/2023 05:03:57 PM,157028,43,58,154.0,57826.0,154.0,0.0,3.58139534883721,23.48477983122112,1448.0,0.0,997.0000000000001,661.5897122601145,369233.51249458693,643.1973915480041,1570.2799999999997,8511.532179462178,77013.0,2.0,155682.0,3706.714285714286,12994.929794169751,77487.0,7.0,157028.0,2754.877192982456,11172.648953823056,77013.0,5.0,0,0,0,0,1376,1872,273.8365132333087,369.36087831469547,0.0,1448.0,568.4313725490196,701.2544701299987,491757.83187730523,0,1,0,0,0,0,0,0,1.0,574.059405940594,3.5813953488372094,997.0,0,0,0,0,0,0,43,154,58,57826,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43366-80-6,172.18.0.2,43366,185.125.190.39,80,6,28/11/2023 05:03:57 PM,229505,125,192,145.0,197774.0,145.0,0.0,1.1600000000000017,12.969194269498786,1448.0,0.0,1030.0729166666652,646.6690284462816,862373.3687719222,1381.2335243240889,726.2816455696204,4909.165585819588,76504.0,0.0,228117.0,1839.6532258064517,7769.9355921662755,76946.0,7.0,229175.0,1199.8691099476441,6284.866042087785,76504.0,4.0,0,0,0,0,4000,6160,544.6504433454609,836.583080978628,0.0,1448.0,622.3867924528291,711.4055785824703,506097.8972382593,0,1,0,0,0,0,0,0,1.0,624.3501577287067,1.16,1030.0729166666667,0,0,0,0,0,0,125,145,192,197774,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43372-80-6,172.18.0.2,43372,185.125.190.39,80,6,28/11/2023 05:03:58 PM,328622,162,301,143.0,315236.0,143.0,0.0,0.8827160493827161,11.235141078852918,1448.0,0.0,1047.2956810631224,639.1952301772006,959701.4198684202,1408.913584604804,711.3030303030306,4500.193988967835,83051.0,0.0,327290.0,2032.8571428571422,7513.048403325663,83541.0,10.0,328622.0,1095.4066666666654,5554.702766488561,83051.0,3.0,0,0,0,0,5184,9648,492.96760411658374,915.9459804882205,0.0,1448.0,679.6961206896555,717.5297047651334,514848.8772203395,0,1,0,0,0,0,0,0,1.0,681.1641468682506,0.8827160493827161,1047.2956810631229,0,0,0,0,0,0,162,143,301,315236,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43374-80-6,172.18.0.2,43374,185.125.190.39,80,6,28/11/2023 05:03:58 PM,76628,8,10,158.0,6235.0,158.0,0.0,19.75,55.86143571373726,1448.0,0.0,623.5,719.3841888108961,83429.03377355536,234.9010805449705,4507.529411764705,18095.00732286964,74720.0,3.0,75540.0,10791.428571428572,28406.883666094873,75212.0,10.0,76628.0,8514.22222222222,24829.56618014991,74720.0,10.0,0,0,0,0,256,336,104.40048024220911,130.5006003027614,0.0,1448.0,336.47368421052636,597.1707710735359,356612.92982456135,0,1,0,0,0,0,0,0,1.0,355.1666666666667,19.75,623.5,0,0,0,0,0,0,8,158,10,6235,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43376-80-6,172.18.0.2,43376,185.125.190.39,80,6,28/11/2023 05:03:58 PM,122904,31,45,169.0,42104.0,169.0,0.0,5.451612903225806,30.353296042524956,1448.0,0.0,935.6444444444443,687.9179772577131,343951.37668424135,618.3688081754866,1638.720000000001,8741.817450591123,70037.0,2.0,121299.0,4043.299999999999,13695.665851421505,70543.0,9.0,122904.0,2793.2727272727266,11324.698781072704,70037.0,6.0,0,0,0,0,992,1456,252.22938228210637,366.1394258933802,0.0,1448.0,548.9999999999998,698.0916468261319,487331.94736842084,0,1,0,0,0,0,0,0,1.0,556.2236842105264,5.451612903225806,935.6444444444444,0,0,0,0,0,0,31,169,45,42104,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43378-80-6,172.18.0.2,43378,185.125.190.39,80,6,28/11/2023 05:03:58 PM,74799,13,13,182.0,12224.0,182.0,0.0,13.999999999999998,50.47771785649584,1448.0,0.0,940.3076923076924,686.7400508459496,165857.83232396154,347.5982299228599,2991.9599999999996,14282.225411561978,71529.0,2.0,73244.0,6103.666666666667,20744.171826994658,71973.0,8.0,74316.0,6193.0,20580.47543403478,71529.0,9.0,0,0,0,0,416,432,173.79911496142995,173.79911496142995,0.0,1448.0,459.4814814814815,664.6705586732058,441786.95156695164,0,1,0,0,0,0,0,0,1.0,477.15384615384613,14.0,940.3076923076923,0,0,0,0,0,0,13,182,13,12224,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43390-80-6,172.18.0.2,43390,185.125.190.39,80,6,28/11/2023 05:03:58 PM,81865,13,13,170.0,12292.0,170.0,0.0,13.076923076923078,47.14951667914447,1448.0,0.0,945.5384615384614,679.1436538495391,152226.22610395163,317.5960422647041,3274.6000000000004,15379.948623667982,77062.0,4.0,79502.0,6625.166666666667,22326.74985032053,77518.0,15.0,81605.0,6800.416666666666,22136.661489518134,77062.0,16.0,0,0,0,0,416,432,158.79802113235206,158.79802113235206,0.0,1448.0,461.55555555555554,663.1621992877026,439784.10256410256,0,1,0,0,0,0,0,0,1.0,479.3076923076923,13.076923076923077,945.5384615384615,0,0,0,0,0,0,13,170,13,12292,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
